Received Timestamp (ns),Sent Timestamp (ns),Difference (ns)
1730382029535796700,1730382028204423060,1331373640
1730382029545219000,1730382028214535625,1330683375
1730382029555830100,1730382028224650071,1331180029
1730382029565950000,1730382028234768539,1331181461
1730382029575993200,1730382028244898631,1331094569
1730382029586281100,1730382028255011594,1331269506
1730382029596432700,1730382028265125114,1331307586
1730382029606396300,1730382028275236480,1331159820
1730382029615829700,1730382028285347978,1330481722
1730382029626733600,1730382028295460860,1331272740
1730382029636291600,1730382028305570800,1330720800
1730382029646932600,1730382028315683849,1331248751
1730382029656887300,1730382028325796087,1331091213
1730382029667039200,1730382028335908511,1331130689
1730382029677094300,1730382028346020089,1331074211
1730382029687017600,1730382028356146413,1330871187
1730382029697394100,1730382028366314738,1331079362
1730382029707547600,1730382028376429839,1331117761
1730382029717549800,1730382028386543625,1331006175
1730382029727192900,1730382028396660893,1330532007
1730382029737699800,1730382028406773014,1330926786
1730382029748234800,1730382028416886417,1331348383
1730382029757854500,1730382028427011595,1330842905
1730382029767364300,1730382028437180884,1330183416
1730382029778788500,1730382028447363648,1331424852
1730382029788591100,1730382028457477995,1331113105
1730382029798421300,1730382028467595367,1330825933
1730382029808417000,1730382028477707301,1330709699
1730382029818417700,1730382028487821719,1330595981
1730382029828487400,1730382028497940915,1330546485
1730382029838870100,1730382028508052032,1330818068
1730382029849169300,1730382028518162433,1331006867
1730382029859583700,1730382028528282252,1331301448
1730382029869586900,1730382028538393697,1331193203
1730382029879501200,1730382028548504265,1330996935
1730382029889080800,1730382028558616259,1330464541
1730382029899811100,1730382028568729210,1331081890
1730382029909624800,1730382028578841110,1330783690
1730382029919627700,1730382028588953788,1330673912
1730382029930130300,1730382028599065434,1331064866
1730382029939744200,1730382028609175930,1330568270
1730382029949740700,1730382028619286950,1330453750
1730382029960409800,1730382028629397890,1331011910
1730382029970054400,1730382028639512279,1330542121
1730382029980050800,1730382028649622241,1330428559
1730382029990555100,1730382028659733395,1330821705
1730382030000553000,1730382028669843642,1330709358
1730382030010679000,1730382028679956118,1330722882
1730382030021415500,1730382028690066797,1331348703
1730382030031352000,1730382028700178055,1331173945
1730382030040866400,1730382028710292262,1330574138
1730382030051377600,1730382028720412687,1330964913
1730382030061369800,1730382028730523767,1330846033
1730382030071036400,1730382028740634895,1330401505
1730382030081477100,1730382028750749913,1330727187
1730382030091985400,1730382028760880561,1331104839
1730382030101906000,1730382028771002668,1330903332
1730382030112107100,1730382028781113853,1330993247
1730382030121690600,1730382028791225183,1330465417
1730382030131790700,1730382028801336597,1330454103
1730382030141788100,1730382028811448189,1330339911
1730382030151847400,1730382028821559290,1330288110
1730382030162667500,1730382028831672434,1330995066
1730382030172709100,1730382028841786593,1330922507
1730382030182642300,1730382028851898833,1330743467
1730382030193114400,1730382028862009376,1331105024
1730382030202539500,1730382028872120699,1330418801
1730382030213140100,1730382028882232159,1330907941
1730382030222859400,1730382028892343425,1330515975
1730382030233169100,1730382028902454085,1330715015
1730382030242774400,1730382028912564734,1330209666
1730382030252954300,1730382028922675256,1330279044
1730382030263341000,1730382028932787175,1330553825
1730382030273563500,1730382028942898108,1330665392
1730382030284033900,1730382028953008862,1331025038
1730382030293807600,1730382028963119947,1330687653
1730382030303783000,1730382028973230103,1330552897
1730382030314203900,1730382028983341024,1330862876
1730382030324007800,1730382028993451762,1330556038
1730382030333517200,1730382029003562254,1329954946
1730382030344763300,1730382029013672710,1331090590
1730382030354758100,1730382029023783087,1330975013
1730382030364408200,1730382029033893027,1330515173
1730382030374472200,1730382029044005944,1330466256
1730382030385113500,1730382029054116352,1330997148
1730382030394737800,1730382029064226871,1330510929
1730382030404703100,1730382029074344545,1330358555
1730382030415360900,1730382029084455598,1330905302
1730382030424789600,1730382029094573912,1330215688
1730382030435428800,1730382029104689292,1330739508
1730382030445547400,1730382029114808712,1330738688
1730382030455148200,1730382029124930639,1330217561
1730382030465897900,1730382029135041848,1330856052
1730382030476180800,1730382029145152117,1331028683
1730382030485840200,1730382029155264346,1330575854
1730382030495481000,1730382029165375212,1330105788
1730382030506477400,1730382029175487004,1330990396
1730382030516377900,1730382029185597887,1330780013
